Stock book code,Date,Work Title,width,height,materials,Ownership,
WM_76-09,1976,Drumbreddan Bay No.2,17.5,21,Acrylic on Canvas,Available,
WM_76-11,1976,Drumbreddan Bay No.4,37,48,Acrylic on Canvas,Available,
WM_76-12,1976,Hardknott Fort,37,32.5,Acrylic on Canvas,Available,
WM_76-13,1976,"Druid Circle, Castlerigg",36,42,Acrylic on Canvas,Available,
WM_76-20,1976,Measand Beck,24,32,Acrylic on Canvas,Available,
WM_76-22,1976,Sunset 76 No.2,32,42,Acrylic on Canvas,Available,
WM_77-01,1977,Lake Shore Winter,36,29,Acrylic on Canvas,Available,
WM_77-02,1977,Solway Sands,48,36,Acrylic on Canvas,Available,
WM_77-06,1977,Dubmill Point No.2 ,22,20,Acrylic on Canvas,Artist's Collection,
WM_77-07,1977,Dunskey Beach No.1,26,36,Acrylic on Canvas,Available,
WM_77-09,1977,Dunskey Beach No.3,32,42,Acrylic on Canvas,Sold,
WM_77-11,1977,Beach on the Mull of Galloway,43,32,Acrylic on Canvas,Artist's Collection,
WM_78-01,1978,Winter on Whale Moor No.1,36.5,36.5,Acrylic on Canvas,Available,
WM_78-02,1978,Winter on Whale Moor No.2,31,23.5,Oil on Canvas,Available,
WM_78-03,1978,Heughs of Laggan,31,23.5,Oil on Canvas,Available,
WM_78-05,1978,Balcary Beach No.2,22,17.5,Oil on Canvas,Available,
WM_78-06,1978,"Blue Rock, Castle Point",31,23.5,Acrylic on Canvas,Sold,
WM_78-08,1978,Mussel Shell Mausoleum,36.5,46.5,Acrylic on Canvas,Artist's Collection,
WM_78-10,1978,Rough Island,31,23.5,Acrylic on Canvas,Available,
WM_79-01,1979,Barcloy Beach No.1,22,35,Acrylic on Canvas,Available,
WM_79-02,1979,Galloway Suite No.1,27,39,Acrylic on Canvas,Artist's Collection,
WM_79-03,1979,Barcloy Beach No.2,22,33,Acrylic on Canvas,Available,
WM_79-06,1979,Galloway Suite No.2,35,45,Acrylic on Canvas,Artist's Collection,
WM_79-09,1979,Galloway Suite No.5,27,34,Acrylic on Canvas,Artist's Collection,
WM_79-10,1979,Rock Pool,31,41,Acrylic on Canvas,Sold,
WM_79-12,1979,Low Tide,12,17,Acrylic on Canvas,Sold,
WM_79-13,1979,Hebridean Storm,12,17,Acrylic on Canvas,Artist's Collection,
WM_79-15,1979,Hebridean Islands,31,41,Acrylic on Canvas,Available,
WM_79-17,1979,Hebridean Dawn,25,32,Acrylic on Canvas,Sold,
WM_79-18,1979,Rough Firth,24,28,Oil on Canvas,Available,
WM_97-09,1979,Small Water Crags,14,12,Oil on Canvas,Available,
WM_80-01,1980,Paps of Jura from Kintyre,30.5,31,Acrylic on Canvas,Sold,
WM_80-02,1980,Garvellachs Islands,33,37,Acrylic on Canvas,Sold,
WM_80-03,1980,"Kilbrannan Sound, Kintyre",24,31.75,Acrylic on Canvas,Sold,
WM_80-04,1980,Ailsa Craig,23,28,Acrylic on Canvas,Available,
WM_80-05,1980,Arran from Kintyre,28,32,Acrylic on Canvas,Sold,
WM_80-06,1980,Grisedale,32,42,Oil on Canvas,Available,
WM_80-07,1980,Mountain Tarn,24,31,Oil on Canvas,Available,
WM_80-08,1980,High Street Summit,21,24,Oil on Board,Available,
WM_81-01,1981,Aira Beck No.1,40,32,Acrylic on Canvas,Sold,
WM_81-02,1981,Nan Bield,32,42,Acrylic on Canvas,Sold,
WM_81-03,1981,Aira Beck No.2,25,25,Oil on canvas,Sold,
WM_81-05,1981,Distant Helvellyn,14,21,Oil on Board,Available,
WM_81-08,1981,Figures in a Room,17,12,Oil on Canvas,Available,
WM_81-09,1981,Sandra in Sea,21,27,Oil on Canvas,Available,
WM_81-10,1981,Sandwick Meadow,31,31,Acrylic on Canvas,Available,
WM_81-11,1981,Sleddale Beck No.1,42,32,Acrylic on Canvas,Sold,
WM_81-12,1981,Sleddale Beck No.2,32,42,Acrylic on Canvas,Sold,
WM_81-13,1981,"Posts - Llanina, Dyfed No.1",28,23,Acrylic on Canvas,Available,
WM_81-14,1981,Sandwick Meadow No.2,28,32,Oil on Canvas,Available,
WM_82-01,1982,"Quartz Rock, Dyfed",28,32,Acrylic on Canvas,Available,
WM_82-02,1982,"Posts - Llanina, Dyfed No.2",31,41,Acrylic on Canvas,Available,
WM_82-03,1982,Sunset Llanina,24,31,Acrylic on Canvas,Available,
WM_82-04,1982,The Rescue,32,42,Acrylic on Canvas,Available,
WM_82-05a,1982,Rock Forms No.1,31,24,Acrylic on Canvas,Available,
WM_82-05b,1982,Rock Forms No.2,34,32,Acrylic on Canvas,Available,
WM_82-06,1982,"Driftwood, Haweswater No.1",29,36,Acrylic on Canvas,Available,
WM_82-07,1982,"Driftwood, Haweswater No.2",18,24,Acrylic on Canvas,Available,
WM_82-08,1982,"Driftwood, Haweswater No.3",32,42,Acrylic on Canvas,Available,
WM_82-09,1982,Stravinsky,12,17,Acrylic on Canvas,Available,
WM_82-10,1982,Sandra,31,23.5,Acrylic on Canvas,Artist's Collection,
WM_82-11,1982,Sandra Red Chair,13,20,Acrylic on Canvas,Available,
WM_82-12,1982,High Places No.1,24,36,Acrylic on Canvas,Sold,
WM_82-13,1982,High Places No.2,35,33,Acrylic on Canvas,Sold,
WM_82-14,1982,Spring Awakening,21,24,Acrylic on Canvas,Sold,
WM_82-15,1982,Brown Howe,10,15,Acrylic on Canvas,Available,
WM_82-16,1982,Ullswater Shore No.1,14,21,Acrylic on Canvas,Sold,
WM_82-17,1982,Ullswater Shore No.2,12,17,Acrylic on Canvas,Sold,
WM_82-18,1982,Figures on Red,30,31,Acrylic on Canvas,Available,
WM_83-02,1983,Riggindale Ridge No.1,41,31,Acrylic on Canvas,Sold,
WM_83-03,1983,Riggindale Ridge No.2,42,32,Acrylic on Canvas,Sold,
WM_83-04,1983,Riggindale Ridge No.3,31,24,Acrylic on Canvas,Sold,
WM_83-05,1983,Evening Clouds Haystacks,18,20,Acrylic on Canvas,Available,
WM_83-06,1983,Evening Clouds High Stile,28,23,Acrylic on Canvas,Available,
WM_83-07,1983,Evening Clouds Honister,19,12,Acrylic on Canvas,Sold,
WM_83-08,1983,First Snow Ullswater,24,18,Acrylic on Canvas,Sold,
WM_83-09,1983,Evening Clouds Honister Crag,12,17,Acrylic on Canvas,Sold,
WM_83-10,1983,Evening Clouds Red Pike,20,25,Acrylic on Canvas,Available,
WM_83-11,1983,Striding Edge No.1,31,41,Acrylic on Canvas,Sold,
WM_83-12,1983,Striding Edge No.2,31,31.5,Acrylic on Canvas,Sold,
WM_83-13,1983,Low Tide Allonby,31,24,Acrylic on Canvas,Sold,
WM_83-14,1983,Helvellyn Summit,27,21,Acrylic on Canvas,Sold,
WM_83-15,1983,Figures on the Beach,26,22,Oil on Canvas,Available,
WM_83-16,1983,West Penwith,30.5,26.5,Oil on Canvas,Available,
WM_84-01,1984,Lingering Snow,20,18,Acrylic on Canvas,Available,
WM_84-02,1984,The Way Down,32,42,Acrylic on CAnvas,Sold,
WM_84-03,1984,Falcon Crag,31,24,Acrylic on Canvas,Sold,
WM_84-04,1984,Veryan Bay,32,28,Acrylic on Canvas,Available,
WM_84-05,1984,Perbargus Cove,23,27,Acrylic on Canvas,Sold,
WM_84-06,1984,Low Tide No.1,32,24,Acrylic on Canvas,Available,
WM_84-08,1984,Above the Clouds,18,25,Oil on Canvas,Available,
WM_84-09,1984,Gull Rock,24,17,Oil on Canvas,Available,
WM_84-10,1984,Figure Painting No.1,18,20,Oil on Canvas,Available,
WM_84-11,1984,Figure Painting No.2,18,20,Oil on Canvas,Available,
WM_84-12,1984,Figure Painting No.3,24,18,Oil on Canvas,Available,
WM_84-13,1984,The Ceremony,21,27,Oil on Canvas,Available,
WM_84-14,1984,Summit ,18,20,Oil on Canvas,Available,
WM_84-15b,1984,Cave on Erraid,41,31,Oil on Canvas,Available,
WM_84-16,1984,Jura From Erraid,36,29,Acrylic on Canvas,Available,
WM_84-17,1984,Fidden Sands,24,29,Acrylic on Canvas,Sold,
WM_84-18,1984,Fidden,28,32,Acrylic on Canvas,Available,
WM_84-19,1984,Eilean Ghomain,31,28,Acrylic on Canvas,Available,
WM_84-20,1984,Sea Gully Erraid,32,42,Acrylic on Canvas,Sold,
WM_84-21,1984,Red Rocks St Abbs,42,32,Acrylic on Canvas,Available,
WM_85-01,1985,Kidsty Pike,32,40,Acrylic on Canvas,Available,
WM_85-02,1985,Spring Morning Ullswater No.1,21,27,Acrylic on Canvas,Sold,
WM_85-03,1985,Spring Morning Ullswater No.2,18,24,Acrylic on Canvas,Sold,
WM_85-04,1985,Snow Clouds Riggindale Ridge,24,18,Acrylic on Canvas,Sold,
WM_85-05,1985,Hop Gill (Between the Showers),,,Acrylic on Canvas,Sold,
WM_85-06,1985,Towards the Sea,32,40,Acrylic on Canvas,Sold,
WM_85-07,1985,Wave Killantringan,27,32,Acrylic on Canvas,Sold,
WM_85-08,1985,Killantringan Rock Pool,42,32,Acrylic on Canvas,Sold,
WM_85-09,1985,Killantringan Low Tide,24,18,Acrylic on Canvas,Sold,
WM_85-10,1985,Fidden Green Sea,36,28,Acrylic on Canvas,Available,
WM_85-11,1985,Fidden Sleeping Rocks,20,18,Acrylic on Canvas,Available,
WM_85-13,1985,Fidden Sands,24,18,Acrylic on Canvas,Sold,
WM_85-14,1985,Traig Ban Fidden,18,24,Acrylic on Canvas,Sold,
WM_85-16,1985,Alan in Reflective Mood,18,24,Acrylic on Canvas,Available,
WM_85-17,1985,Fidden The Silence,28,36,Acrylic on Canvas,Sold,
WM_85-18,1985,Reflecting Granite Fidden,36,28,Acrylic on Canvas,Sold,
WM_85-19,1985,Red Ball Killantringan,28,23,Acrylic on Canvas,Sold,
WM_85-20,1985,Fidden The Island,41,31,Acrylic on Canvas,Sold,
WM_86-01,1986,Killantringan Calm,32,24,Acrylic on Canvas,Sold,
WM_86-02,1986,Killantringan Gully,30,40,Acrylic on Canvas,Sold,
WM_86-03,1986,Portpatrick Jetty,31,31,Acrylic on Canvas,Sold,
WM_86-04,1986,Lots Wife,30,40,Oil on Canvas,Available,
WM_86-06,1986,Striding Edge,31,34.5,Oil on Canvas,Available,
WM_86-07,1986,Gable 86 'Stepping into Wasdale',28,36,Acrylic on Canvas,Sold,
WM_86-08,1986,Gable 86 'A Walk on the Wild Side',41,31,Acrylic on Canvas,Sold,
WM_86-09,1986,Easdale,24,18,Acrylic on Canvas,Available,
WM_86-10,1986,Traigh Ban Iona No.1,36,28,Acrylic on Canvas,Sold,
WM_86-11,1986,Langdales,24,17.5,Oil on Canvas,Sold,
WM_86-12,1986,Traigh Ban Iona No.3,30,40,Acrylic on Canvas,Sold,
WM_86-13,1986,Traig Gheal,26.5,30.5,Acrylic on Canvas,Available,
WM_86-14,1986,Traigh Ban Iona No.2,17.5,24,Acrylic on Canvas,Sold,
WM_86-15,1986,Fidden Stepping stones,30,40,Acrylic on Canvas,Available,
WM_86-16,1986,Blow Hole Iona,18,17.5,Acrylic on Canvas,Available,
WM_86-17,1986,Viaduct,18,24,Acrylic on Canvas,Available,
WM_86-18,1986,Early Snowstorm No.1,23.5,31,Acrylic on Canvas,Sold,
WM_86-20,1986,Early Snowstorm No.3,14,18.5,Acrylic on Canvas,Sold,
WM_86-21,1986,Oranges,24,18,Oil on Canvas,Available,
WM_86-22,1986,Green Sea Turf Fidden,18,24,Oil on Canvas,Available,
WM_87-01,1987,Winter Lake Shore No.1,28,36,Acrylic on Canvas,Available,
WM_87-02,1987,Winter Lake Shore No.2,18,20,Acrylic on Canvas,Sold,
WM_87-03,1987,Fidden,9,12,Acrylic on Canvas,Available,
WM_87-05,1987,Scree Gully  Fairfield,24,18,Acrylic on Canvas,Available,
WM_87-06,1987,Fairfield the Way Up,28,36,Acrylic on Canvas,Sold,
WM_87-07,1987,The Home Straight,28,36,Acrylic on Canvas,Sold,
WM_87-09,1987,Erraid Mist,28,36,Acrylic on Canvas,Available,
WM_87-10,1987,Fidden after the Storm,18,24,Oil on Canvas,Available,
WM_87-11,1987,Crab Apple,18,24,Oil on Canvas,Available,
WM_87-12,1987,Trees at the Swimming Pool,38,26,Oil on Canvas,Available,
WM_87-13,1987,In the Wood,24,30,Oil on Canvas,Available,
WM_87-14,1987,Fidden Storm Clouds Brewing,23,28,Oil on Canvas,Available,
WM_87-15,1987,Cornish Memories,30,40,Oil on Canvas,Available,
WM_87-16,1987,Cemetery on Kintyre,28,32,Oil on Canvas,Available,
WM_87-17,1987,Kintyre Roots,18,21,Oil on Canvas,Available,
WM_88-01,1988,Poppies,36,28,Acrylic on Canvas,Sold,
WM_88-02,1988,Lake Reflections No.1,28,36,Acrylic on Canvas,Sold,
WM_88-03,1988,Lake Reflections No.2,40,30,Acrylic on Canvas,Available,
WM_88-04,1988,Low Water Fidden No.2,28,36,Acrylic on Canvas,Artist's Collection,
WM_88-05,1988,Low Water Fidden No.3,24,36,Acrylic on Canvas,Sold,
WM_88-07,1988,Homage to Scafell,28,36,Acrylic on Canvas,Sold,
WM_88-08,1988,East Coast Breaker No.1,18,24,Acrylic on Canvas,Available,
WM_88-09,1988,East Coast Breaker No.2,40,30,Acrylic on Canvas,Available,
WM_88-11,1988,Cornish Garden No.1  (Margo Maeckelberghe's Garden),18,24,Acrylic on Canvas,Available,
WM_88-12,1988,Cornish Garden No.2 (Margo Maeckelberghe's Garden),28,36,Acrylic on Canvas,Available,
WM_88-13,1988,St Ives Alley No.1,24,30,Acrylic on Canvas,Available,
WM_88-14,1988,St Ives Alley No.2,28,36,Acrylic on Canvas,Sold,
WM_88-15,1988,"Treen, Balanced Rock",28,36,Acrylic on Canvas,Available,
WM_88-18,1988,Homage to Hepworth,30,40,Acrylic on Canvas,Available,
WM_88-19,1988,Gurnards Washing,30,40,Oil on Canvas,Available,
WM_88-20,1988,Cornish Garden No.3,30,24,Oil on Canvas,Available,
WM_88-21,1988,Sandra Sea Bed ,24,30,Oil on Canvas,Available,
WM_88-22,1988,Gable,24,30,Acrylic on Canvas,Available,
WM_88-23,1988,Granite Light Treen,30,40,Oil on Canvas,Available,
WM_88-24,1988,Gurnards Head from Treen,28,36,Oil on Canvas,Available,
WM_89-01,1989,Dollywaggon,23,28,Oil on Canvas,Available,
WM_89-02,1989,Fairfield Cloud,28,36,Oil on Canvas,Available,
WM_89-03,1989,Hepworth's Garden,24,30,Acrylic on Canvas,Available,
WM_89-04,1989,Winter Light No.1,23,28,Acrylic on Canvas,Sold,
WM_89-05,1989,Winter Light No.2,18,24,Acrylic on Canvas,Sold,
WM_89-06,1989,Wet Snow,24,18,Oil on Canvas,Available,
WM_89-07,1989,Fluttering and Dancing No.1,28,23,Acrylic on Canvas,Available,
WM_89-08,1989,Fluttering and Dancing No.2,18,24,Acrylic on Canvas,Available,
WM_89-09,1989,Derwent Dawn Reflections,30,40,Acrylic on Canvas,Sold,
WM_89-10,1989,Derwent Dawn Rampsholme,24,30,Acrylic on Canvas,Sold,
WM_89-11,1989,Derwent Dawn The Island,30,40,Acrylic on Canvas,Available,
WM_89-13,1989,Cliff House No.1,36,28,Oil on Canvas,Sold,
WM_89-14,1989,Ciff House No.2,24,30,Oil on Canvas,Available,
WM_89-15,1989,"Sandra, Treen Rock",24,30,Oil on Canvas,Available,
WM_89-16,1989,Sandra Waterfall,24,30,Oil on Canvas,Available,
WM_89-17,1989,Reflecting on Derwent Water No.1,28,36,Acrylic on Canvas,Sold,
WM_89-18,1989,Reflecting on Derwent Water No.2,36,28,Acrylic on Canvas,Available,
WM_89-19,1989,Reflecting on Derwent Water No.3,30,40,Acrylic on Canvas,Available,
WM_89-20,1989,Sky Hole,40,30,Oil on Canvas,Available,
WM_89-21,1989,Chatham Kent Express,28,36,Acrylic on Canvas,Available,
WM_89-22,1989,St Pauls,40,30,Acrylic on Canvas,Available,
WM_89-23,1989,Gutchers Isle,40,30,Acrylic on Canvas,Available,
WM_90-01,1990,Winter Glow No.1,30,24,Oil on Canvas,Available,
WM_90-02,1990,Dawn Cat Bells,24,30,Oil on Canvas,Sold,
WM_90-03,1990,Winter Glow No.2,40,30,Oil on Canvas,Sold,
WM_90-04,1990,On the Edge,28,36,Oil on Canvas,Sold,
WM_90-05,1990,Key Hole,30,40,Acrylic on Canvas,Sold,
WM_90-06,1990,Bass Rock,36,28,Acrylic on Canvas,Available,
WM_90-07,1990,Gable,24,30,Oil on Canvas,Available,
WM_90-08,1990,Below Zennor,18,24,Oil on Canvas,Available,
WM_90-10,1990,Porth Ledden No.1,28,36,Oil on Canvas,Available,
WM_90-12,1990,"Smooth as a Babies Bottom ""No body knows the places I have been, no body knows the trouble I have seen""",23,30,Acrylic on Canvas,Available,
WM_90-13,1990,Porth Ledden No.2,28,25,Oil on Board,Available,
WM_90-14,1990,Zennor Swimming Hole,20,25,Oil on Board,Available,
WM_90-15,1990,Heron Pike,18,24,Oil on Canvas,Available,
WM_90-16,1990,Onwards and upwards,20,18,Oil on Canvas,Available,
WM_90-18,1990,Kidsty Snow,24,31,Acrylic on Canvas,Available,
WM_90-19,1990,Nan Bield,24,30,Oil on Canvas,Available,
WM_91-01,1991,Dale Head,24,30,Oil on Canvas,Available,
WM_91-02,1991,Moor Divock,28,36,Oil on Canvas,Available,
WM_91-03,1991,Riggindale Ridge,40,30,Oil on Canvas,Available,
WM_91-04,1991,Voices In the Mist,48,36,Oil on Canvas,Available,
WM_91-05,1991,Fallen Star,23,28,Oil on Canvas,Available,
WM_91-06,1991,Suffer the Little Children,32,26,Oil on Canvas,Available,
WM_91-07,1991,Material Man,26,32,Oil on Canvas,Available,
WM_91-08,1991,The Green Man (Heseltine),28,36,Oil on Canvas,Available,
WM_91-09,1991,The Voyeur,48,36,Oil on Canvas,Available,
WM_91-10,1991,The Poet Contemplates the Burnt Out Forest,23,28,Oil on Canvas,Available,
WM_91-11,1991,The Old Man of the Sea,30,40,Oil on Canvas,Available,
WM_91-12,1991,Lord of the Dance,40,30,Oil on Canvas,Available,
WM_91-13,1991,The Face Behind the Mask,36,48,Oil on Canvas,Artist's Collection,
WM_91-14,1991,Dancer reflect on Timea Past Forgotten Dreams,24,36,Oil on Canvas,Available,
WM_91-15,1991,Valley Light,24,30,Oil on Canvas,Sold,
WM_91-16,1991,Summit Cloud,30,40,Oil on Canvas,Available,
WM_91-17,1991,Made Up,26,32,Oil on Canvas,Available,
WM_91-18,1991,The Message,26,32,Oil on Canvas,Available,
WM_91-19,1991,Harter Fell,28,36,Oil on Canvas,Available,
WM_91-20,1991,Crinkle Crags,28,36,Oil on Canvas,Sold,
WM_92-01,1992,Who's Who,23,28,Oil on Canvas,Available,
WM_92-02,1992,Dangerous Liasion,36,24,Oil on Canvas,Available,
WM_92-03,1992,Protection Racket,30,40,Oil on Canvas,Available,
WM_92-04,1992,Two Into One,28,36,Oil on Canvas,Available,
WM_92-05,1992,Desert Norm,24,30,Oil on Canvas,Sold,
WM_92-06,1992,Poeti Del Rock,28,36,Oil on Canvas,Available,
WM_92-07,1992,Edmondo,24,30,Oil on Canvas,Available,
WM_92-08,1992,Inhabitants of the Sea,36,48,Oil on Canvas,Available,
WM_92-09,1992,Blind Mans Buff,18,24,Oil on Canvas,Available,
WM_92-10,1992,M�nage���trois,30,40,Oil on Canvas,Available,
WM_93-01,1993,Maddona of the Fireworks,28,36,Oil on Canvas,Available,
WM_93-02,1993,Emily On The Fringe,20,30,Oil on Canvas,Available,
WM_93-03,1993,The Dispossessed,30,40,Oil on Canvas,Available,
WM_93-04,1993,Graziella,30,24,Oil on Canvas,Available,
WM_93-05,1993,Selene,24,30,Oil on Canvas,Available,
WM_93-06,1993,Initiation Rites,48,36,Oil on Canvas,Available,
WM_93-07,1993,Guardian of the Fleece,36,28,Oil on Canvas,Available,
WM_93-08,1993,Emergence,30,40,Oil on Canvas,Available,
WM_94-01,1994,Genovesi Shadows No.1,26,38,Oil on Canvas,Available,
WM_94-03,1994,Genovesi Shadows No.3,40,30,Oil on Canvas,Available,
WM_94-04,1994,Life Line (Leonard Cohen),40,30,Oil on Canvas,Available,
WM_94-05,1994,Wandering in the Secret Garden,29,36,Acrylic on Canvas,Sold,
WM_94-06,1994,British Jungle Dances (study),30,40,Oil on Canvas,Available,
WM_94-07,1994,Red Blue and Ochre  No.1,36,48,Oil on Canvas,Available,
WM_94-08,1994,British Jungle Dances (study 1),9,11,Oil on Board,Available,
WM_94-09,1994,British Jungle Dances (study 2),,,Oil on Canvas,Sold,
